value_id,display_value,raw_value,units,source_file,source_columns,analysis_step,figure_table_reference,manuscript_location
n_muni,55,55,count/persons,data/processed/muni_lookup.csv; geography_qc.json,,aggregate_results,,§2 Data
region_pop,3991697.0,3991697.0,count/persons,data/processed/muni_lookup.csv; geography_qc.json,,aggregate_results,,§2 Data
n_cross,79466.0,79466.0,daily trips,outputs/diagnostics/flows_qc.json,,aggregate_results,,§1-2
total_flow_within_region,1784740.0,1784740.0,daily trips,outputs/diagnostics/flows_qc.json,,aggregate_results,,§1-2
n_small,11978,11978,count/persons,data/processed/muni_lookup.csv; geography_qc.json,,aggregate_results,,§2 Data
pop_shiga,1413610.0,1413610.0,count/persons,data/processed/muni_lookup.csv; geography_qc.json,,aggregate_results,,§2 Data
pop_kyoto,2578087.0,2578087.0,count/persons,data/processed/muni_lookup.csv; geography_qc.json,,aggregate_results,,§2 Data
A_on_fut_S1_2025_maxdev,0.15707119827843674,0.15707119827843674,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_fut_S1_2030_maxdev,0.16522837771107035,0.16522837771107035,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_fut_S1_2035_maxdev,0.19325148244372325,0.19325148244372325,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_fut_S1_2040_maxdev,0.21978752959676773,0.21978752959676773,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_fut_S1_2045_maxdev,0.24422825478318422,0.24422825478318422,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_fut_S1_2050_maxdev,0.26746395470306195,0.26746395470306195,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_durability_S1,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_durability_S2,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_fut_S1_2025_maxdev,0.1665872766677643,0.1665872766677643,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_fut_S1_2030_maxdev,0.1705179070180668,0.1705179070180668,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_fut_S1_2035_maxdev,0.1934675372876673,0.1934675372876673,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_fut_S1_2040_maxdev,0.21682561589798022,0.21682561589798022,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_fut_S1_2045_maxdev,0.23924894373622863,0.23924894373622863,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_fut_S1_2050_maxdev,0.2605695584348813,0.2605695584348813,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_durability_S1,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_durability_S2,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_m4on_fut_S1_2025_maxdev,0.15707119827843674,0.15707119827843674,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_fut_S1_2030_maxdev,0.16522837771107035,0.16522837771107035,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_fut_S1_2035_maxdev,0.19325148244372325,0.19325148244372325,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_fut_S1_2040_maxdev,0.21978752959676773,0.21978752959676773,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_fut_S1_2045_maxdev,0.24422825478318422,0.24422825478318422,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_fut_S1_2050_maxdev,0.26746395470306195,0.26746395470306195,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_durability_S1,2040,2040,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
A_m4on_durability_S2,2040,2040,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_on_fut_S1_2025_maxdev,0.15864437568034329,0.15864437568034329,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_fut_S1_2030_maxdev,0.16522837771106968,0.16522837771106968,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_fut_S1_2035_maxdev,0.19325148244372126,0.19325148244372126,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_fut_S1_2040_maxdev,0.21978752959676906,0.21978752959676906,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_fut_S1_2045_maxdev,0.24422825478318355,0.24422825478318355,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_fut_S1_2050_maxdev,0.2674639547030606,0.2674639547030606,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_durability_S1,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_on_durability_S2,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_fut_S1_2025_maxdev,0.15864437568034329,0.15864437568034329,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_fut_S1_2030_maxdev,0.16522837771106968,0.16522837771106968,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_fut_S1_2035_maxdev,0.19325148244372126,0.19325148244372126,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_fut_S1_2040_maxdev,0.21978752959676906,0.21978752959676906,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_fut_S1_2045_maxdev,0.24422825478318355,0.24422825478318355,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_fut_S1_2050_maxdev,0.2674639547030606,0.2674639547030606,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_durability_S1,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_off_durability_S2,2040,2040,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_m4on_fut_S1_2025_maxdev,0.15864437568034329,0.15864437568034329,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_fut_S1_2030_maxdev,0.16522837771106968,0.16522837771106968,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_fut_S1_2035_maxdev,0.19325148244372148,0.19325148244372148,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_fut_S1_2040_maxdev,0.21978752959676906,0.21978752959676906,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_fut_S1_2045_maxdev,0.24422825478318333,0.24422825478318333,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_fut_S1_2050_maxdev,0.2674639547030606,0.2674639547030606,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_durability_S1,2040,2040,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4on_durability_S2,2040,2040,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_fut_S1_2025_maxdev,0.15864437568034329,0.15864437568034329,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_fut_S1_2030_maxdev,0.16522837771106968,0.16522837771106968,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_fut_S1_2035_maxdev,0.19325148244372148,0.19325148244372148,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_fut_S1_2040_maxdev,0.21978752959676862,0.21978752959676862,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_fut_S1_2045_maxdev,0.24422825478318333,0.24422825478318333,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_fut_S1_2050_maxdev,0.2674639547030606,0.2674639547030606,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_durability_S1,2040,2040,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
B_m4off_durability_S2,2040,2040,,outputs/tables/model_results.csv,,aggregate_results,"T6,F7",Results §3.4
