key,value
B_off_total_boundary_m,5424410.763412876
B_off_objective,0.6245294675099053
B_off_status,
cost_border_B,0.0
cost_border_A_lo,0.0
cost_border_A_hi,532293.0
cost_border_A_hi_frac,0.2968196993176347
A_on_bound,883334.0
A_current_max_min_ratio,1.9744058238931521
A_current_max_rel_dev,0.37066014780179957
A_current_mean_abs_dev,0.16759516343828482
A_current_rms_dev,0.19458739462659339
A_current_contiguous,True
A_current_polsby_popper_mean,0.029765957144250295
A_current_polsby_popper_min,0.012526064324432172
A_current_n_split_munis,0.0
A_current_severed_flow_total,233890.5
A_current_severed_fraction,0.262100361957484
A_current_within_district_retention,658479.5
A_current_cross_pref_flow,39733.0
A_current_cross_pref_flow_severed,39733.0
A_current_cross_pref_flow_retained,0.0
A_current_total_boundary_m,5554021.895381763
B_current_max_min_ratio,1.9744058238931521
B_current_max_rel_dev,0.37066014780179957
B_current_mean_abs_dev,0.16759516343828482
B_current_rms_dev,0.19458739462659339
B_current_contiguous,True
B_current_polsby_popper_mean,0.02897465257034027
B_current_polsby_popper_min,0.011490815782798843
B_current_n_split_munis,0.0
B_current_severed_flow_total,233890.5
B_current_severed_fraction,0.262100361957484
B_current_within_district_retention,658479.5
B_current_cross_pref_flow,39733.0
B_current_cross_pref_flow_severed,39733.0
B_current_cross_pref_flow_retained,0.0
B_current_total_boundary_m,5670855.194205408
M5_reassigned_pop,118576.0
M5_reassigned_units,176.0
M5_reassigned_pop_frac,0.029705661526914492
placebo_n,200
placebo_n_feasible,78
placebo_infeasible_share,61.0
placebo_cost_median,0.0646725193455564
placebo_cost_iqr,0.0222 – 0.0727
cost_border_heuristic,0.024479959950260866
placebo_pct,10.0
cross_od_real,39733.0
cross_od_placebo_median,99419.5
cross_od_placebo_iqr,90322 – 103038
cross_od_real_pct,0.0
n_muni,55
region_pop,3991697.0
n_cross,79466.0
total_flow_within_region,1784740.0
n_small,11978
pop_shiga,1413610.0
pop_kyoto,2578087.0
A_on_fut_S1_2025_maxdev,0.15707119827843674
A_on_fut_S1_2030_maxdev,0.16522837771107035
A_on_fut_S1_2035_maxdev,0.19325148244372325
A_on_fut_S1_2040_maxdev,0.21978752959676773
A_on_fut_S1_2045_maxdev,0.24422825478318422
A_on_fut_S1_2050_maxdev,0.26746395470306195
A_on_durability_S1,2040
A_on_durability_S2,2040
A_off_fut_S1_2025_maxdev,0.1665872766677643
A_off_fut_S1_2030_maxdev,0.1705179070180668
A_off_fut_S1_2035_maxdev,0.1934675372876673
A_off_fut_S1_2040_maxdev,0.21682561589798022
A_off_fut_S1_2045_maxdev,0.23924894373622863
A_off_fut_S1_2050_maxdev,0.2605695584348813
A_off_durability_S1,2040
A_off_durability_S2,2040
A_m4on_fut_S1_2025_maxdev,0.15707119827843674
A_m4on_fut_S1_2030_maxdev,0.16522837771107035
A_m4on_fut_S1_2035_maxdev,0.19325148244372325
A_m4on_fut_S1_2040_maxdev,0.21978752959676773
A_m4on_fut_S1_2045_maxdev,0.24422825478318422
A_m4on_fut_S1_2050_maxdev,0.26746395470306195
A_m4on_durability_S1,2040
A_m4on_durability_S2,2040
B_on_fut_S1_2025_maxdev,0.15864437568034329
B_on_fut_S1_2030_maxdev,0.16522837771106968
B_on_fut_S1_2035_maxdev,0.19325148244372126
B_on_fut_S1_2040_maxdev,0.21978752959676906
B_on_fut_S1_2045_maxdev,0.24422825478318355
B_on_fut_S1_2050_maxdev,0.2674639547030606
B_on_durability_S1,2040
B_on_durability_S2,2040
B_off_fut_S1_2025_maxdev,0.15864437568034329
B_off_fut_S1_2030_maxdev,0.16522837771106968
B_off_fut_S1_2035_maxdev,0.19325148244372126
B_off_fut_S1_2040_maxdev,0.21978752959676906
B_off_fut_S1_2045_maxdev,0.24422825478318355
B_off_fut_S1_2050_maxdev,0.2674639547030606
B_off_durability_S1,2040
B_off_durability_S2,2040
B_m4on_fut_S1_2025_maxdev,0.15864437568034329
B_m4on_fut_S1_2030_maxdev,0.16522837771106968
B_m4on_fut_S1_2035_maxdev,0.19325148244372148
B_m4on_fut_S1_2040_maxdev,0.21978752959676906
B_m4on_fut_S1_2045_maxdev,0.24422825478318333
B_m4on_fut_S1_2050_maxdev,0.2674639547030606
B_m4on_durability_S1,2040
B_m4on_durability_S2,2040
B_m4off_fut_S1_2025_maxdev,0.15864437568034329
B_m4off_fut_S1_2030_maxdev,0.16522837771106968
B_m4off_fut_S1_2035_maxdev,0.19325148244372148
B_m4off_fut_S1_2040_maxdev,0.21978752959676862
B_m4off_fut_S1_2045_maxdev,0.24422825478318333
B_m4off_fut_S1_2050_maxdev,0.2674639547030606
B_m4off_durability_S1,2040
B_m4off_durability_S2,2040
