key,value
A_base_max_min_ratio,1.3138311735419057
A_base_max_rel_dev,0.16085088622708588
A_base_mean_abs_dev,0.0824203618438752
A_base_rms_dev,0.09421930905113261
A_base_contiguous,True
A_base_polsby_popper_mean,0.03324447705769508
A_base_polsby_popper_min,0.011690560105553872
A_base_n_split_munis,0.0
A_base_severed_flow_total,243932.5
A_base_severed_fraction,0.2733535416923473
A_base_within_district_retention,648437.5
A_base_cross_pref_flow,39733.0
A_base_cross_pref_flow_severed,39733.0
A_base_cross_pref_flow_retained,0.0
A_base_total_boundary_m,5355039.863057774
A_base_objective,1793321.0
A_base_status,FEASIBLE
A_on_max_min_ratio,1.3138311735419057
A_on_max_rel_dev,0.16085088622708588
A_on_mean_abs_dev,0.0824203618438752
A_on_rms_dev,0.09421930905113261
A_on_contiguous,True
A_on_polsby_popper_mean,0.03324447705769508
A_on_polsby_popper_min,0.011690560105553872
A_on_n_split_munis,0.0
A_on_severed_flow_total,243932.5
A_on_severed_fraction,0.2733535416923473
A_on_within_district_retention,648437.5
A_on_cross_pref_flow,39733.0
A_on_cross_pref_flow_severed,39733.0
A_on_cross_pref_flow_retained,0.0
A_on_total_boundary_m,5355039.8630577745
A_on_objective,1793321.0
A_on_status,FEASIBLE
A_off_max_min_ratio,1.3215579758623457
A_off_max_rel_dev,0.15744857387722566
A_off_mean_abs_dev,0.08921496574291865
A_off_rms_dev,0.10024374768242608
A_off_contiguous,True
A_off_polsby_popper_mean,0.03206327883880022
A_off_polsby_popper_min,0.011690560105553872
A_off_n_split_munis,0.0
A_off_severed_flow_total,249689.5
A_off_severed_fraction,0.279804901554288
A_off_within_district_retention,642680.5
A_off_cross_pref_flow,39733.0
A_off_cross_pref_flow_severed,39733.0
A_off_cross_pref_flow_retained,0.0
A_off_total_boundary_m,5401252.408704229
A_off_objective,1870325.0
A_off_status,FEASIBLE
cost_border_A,-77004.0
B_base_max_min_ratio,1.3163529563784768
B_base_max_rel_dev,0.1624584731756944
B_base_mean_abs_dev,0.08277760338801045
B_base_rms_dev,0.09465118953858934
B_base_contiguous,True
B_base_polsby_popper_mean,0.03251846341409881
B_base_polsby_popper_min,0.01095788735071851
B_base_n_split_munis,1.0
B_base_severed_flow_total,243922.56924311048
B_base_severed_fraction,0.27334241317291086
B_base_within_district_retention,648447.4307568895
B_base_cross_pref_flow,39733.0
B_base_cross_pref_flow_severed,39733.0
B_base_cross_pref_flow_retained,0.0
B_base_total_boundary_m,5424410.763412877
B_base_objective,0.6245294675099053
B_base_status,
B_on_max_min_ratio,1.3163529563784768
B_on_max_rel_dev,0.1624584731756944
B_on_mean_abs_dev,0.08277760338801045
B_on_rms_dev,0.09465118953858934
B_on_contiguous,True
B_on_polsby_popper_mean,0.032518463414098815
B_on_polsby_popper_min,0.01095788735071851
B_on_n_split_munis,1.0
B_on_severed_flow_total,243922.56924311048
B_on_severed_fraction,0.27334241317291086
B_on_within_district_retention,648447.4307568895
B_on_cross_pref_flow,39733.0
B_on_cross_pref_flow_severed,39733.0
B_on_cross_pref_flow_retained,0.0
B_on_total_boundary_m,5424410.763412876
B_on_objective,0.6245294675099053
B_on_status,
B_off_max_min_ratio,1.3163529563784768
B_off_max_rel_dev,0.1624584731756944
B_off_mean_abs_dev,0.08277760338801045
B_off_rms_dev,0.09465118953858934
B_off_contiguous,True
B_off_polsby_popper_mean,0.032518463414098815
B_off_polsby_popper_min,0.01095788735071851
B_off_n_split_munis,1.0
B_off_severed_flow_total,243922.56924311048
B_off_severed_fraction,0.27334241317291086
B_off_within_district_retention,648447.4307568895
B_off_cross_pref_flow,39733.0
B_off_cross_pref_flow_severed,39733.0
B_off_cross_pref_flow_retained,0.0
