placebo_id,pop_share_grp1,boundary_len_m,obj_on,obj_off,bound_on,bound_off,status_on,status_off,cost
47,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
48,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
49,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
50,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
51,0.3311944769354988,107644.12619596029,0.3541351952853365,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.06947373183019573
52,0.2820715099367512,170052.97494562104,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
53,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
54,0.3003537092118966,143728.78079457278,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
55,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
56,0.3261555173150667,164120.8528924176,0.32028807999236264,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.03562661653722188
57,0.2987679175047605,131690.42252418294,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
58,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
59,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
60,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
61,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
62,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
63,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
64,0.3097923013695678,126314.38660036666,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
65,0.3378034455020007,143417.71672110833,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
66,0.2756181143007598,125680.49174473468,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
67,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
68,0.3311944769354988,107644.12619596029,0.3541351952853365,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.06947373183019573
69,0.2679501976227153,121969.30088261089,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
70,0.289122395813109,109655.9252010524,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
71,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
72,0.4043443177175021,102137.78431996552,0.2973724638964675,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.012711000441326725
