model,boundary_on,tau,seed,status,solver,runtime_sec,objective,bound,gap,best_objective,iters,optimality,greedy_repair_moves,max_min_ratio,max_rel_dev,mean_abs_dev,rms_dev,contiguous,polsby_popper_mean,polsby_popper_min,n_split_munis,severed_flow_total,severed_fraction,within_district_retention,cross_pref_flow,cross_pref_flow_severed,cross_pref_flow_retained,total_boundary_m,fut_S1_2025_maxdev,fut_S1_2030_maxdev,fut_S1_2035_maxdev,fut_S1_2040_maxdev,fut_S1_2045_maxdev,fut_S1_2050_maxdev,durability_S1,durability_S2,level,file,reassigned_pop,reassigned_units,reassigned_pop_frac
M0,True,0.2,,CURRENT-MAP,none,,,,,,,n/a (statutory map),,1.9744058238931521,0.37066014780179957,0.16759516343828482,0.19458739462659339,True,0.029765957144250295,0.012526064324432172,0.0,233890.5,0.262100361957484,658479.5,39733.0,39733.0,0.0,5554021.895381763,0.39668476554422993,0.4189261153794118,0.4392114456739401,0.45775840760719433,0.47591834953786183,0.49422086925838327,2025,2025,A,A_M0_on_tau0.2_s0.json,,,
M1,True,0.2,11.0,FEASIBLE,,300.02660965919495,1793321.0,896610.0,0.5000281600449669,,,,,1.3138311735419057,0.16085088622708588,0.0824203618438752,0.09421930905113261,True,0.03324447705769508,0.011690560105553872,0.0,243932.5,0.2733535416923473,648437.5,39733.0,39733.0,0.0,5355039.863057774,0.15707119827843674,0.16522837771107035,0.19325148244372325,0.21978752959676773,0.24422825478318422,0.26746395470306195,2040,2040,A,A_M1_on_tau0.2_s11.json,,,
M1,True,0.2,23.0,UNKNOWN,,300.04098629951477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A_M1_on_tau0.2_s23.json,,,
M1,True,0.2,37.0,UNKNOWN,,300.03527188301086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A_M1_on_tau0.2_s37.json,,,
M1,True,0.2,41.0,FEASIBLE,,300.02915835380554,1793321.0,869276.0,0.5152702723048467,,,,,1.3138311735419057,0.16085088622708588,0.0824203618438752,0.0942193090511326,True,0.03324447705769508,0.011690560105553872,0.0,243932.5,0.2733535416923473,648437.5,39733.0,39733.0,0.0,5355039.8630577745,0.15707119827843674,0.16522837771107035,0.19325148244372325,0.21978752959676773,0.24422825478318422,0.26746395470306195,2040,2040,A,A_M1_on_tau0.2_s41.json,,,
M2,True,0.15,11.0,FEASIBLE,,300.0354959964752,1804507.0,948793.0,0.4742092992712137,,,,,1.2621163510405724,0.1264670139041114,0.07477950132765866,0.08606761927844671,True,0.03276671039645053,0.011690560105553872,0.0,245181.0,0.2747526250322176,647189.0,39733.0,39733.0,0.0,5376823.9245164,0.13628914297092187,0.16522837771107035,0.19325148244372325,0.21978752959676773,0.24422825478318422,0.26746395470306195,2040,2040,A,A_M2_on_tau0.15_s11.json,,,
M2,True,0.1,11.0,UNKNOWN,,300.0300359725952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A_M2_on_tau0.1_s11.json,,,
M2,True,0.2,11.0,FEASIBLE,,300.02989888191223,1793321.0,911719.0,0.4916030091656764,,,,,1.3138311735419057,0.16085088622708588,0.0824203618438752,0.09421930905113261,True,0.03324447705769508,0.011690560105553872,0.0,243932.5,0.2733535416923473,648437.5,39733.0,39733.0,0.0,5355039.8630577745,0.15707119827843674,0.16522837771107035,0.19325148244372325,0.21978752959676773,0.24422825478318422,0.26746395470306195,2040,2040,A,A_M2_on_tau0.2_s11.json,,,
M2,True,0.2,23.0,FEASIBLE,,300.0469980239868,1793321.0,883334.0,0.5074311849356585,,,,,1.3138311735419057,0.16085088622708588,0.0824203618438752,0.0942193090511326,True,0.03324447705769508,0.011690560105553872,0.0,243932.5,0.2733535416923473,648437.5,39733.0,39733.0,0.0,5355039.863057774,0.15707119827843674,0.16522837771107035,0.19325148244372325,0.21978752959676773,0.24422825478318422,0.26746395470306195,2040,2040,A,A_M2_on_tau0.2_s23.json,,,
M2,True,0.2,37.0,UNKNOWN,,300.04330825805664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A_M2_on_tau0.2_s37.json,,,
