unit_id,district
25201,8
25202,6
25203,6
25204,7
25206,8
25207,7
25208,8
25209,7
25210,7
25211,7
25212,6
25213,7
25214,6
25383,7
25384,7
25425,7
25441,6
25442,6
25443,6
26101,0
26102,1
26103,0
26104,1
26105,1
26106,1
26107,3
26108,0
26109,5
26110,1
26111,3
26201,4
26202,4
26203,4
26204,5
26205,4
26206,4
26207,2
26208,3
26209,3
26210,2
26211,2
26212,4
26213,4
26214,2
26303,3
26322,5
26343,2
26344,2
26364,2
26365,2
26366,2
26367,2
26407,4
26463,4
26465,4
