muni_code,pref,muni_name,year,pop_ipss,growth
25201,滋賀県,大津市,2020,345070,1.0
25202,滋賀県,彦根市,2020,113647,1.0
25203,滋賀県,長浜市,2020,113636,1.0
25204,滋賀県,近江八幡市,2020,81122,1.0
25206,滋賀県,草津市,2020,143913,1.0
25207,滋賀県,守山市,2020,83236,1.0
25208,滋賀県,栗東市,2020,68820,1.0
25209,滋賀県,甲賀市,2020,88358,1.0
25210,滋賀県,野洲市,2020,50513,1.0
25211,滋賀県,湖南市,2020,54460,1.0
25212,滋賀県,高島市,2020,46377,1.0
25213,滋賀県,東近江市,2020,112819,1.0
25214,滋賀県,米原市,2020,37225,1.0
25383,滋賀県,日野町,2020,20964,1.0
25384,滋賀県,竜王町,2020,11789,1.0
25425,滋賀県,愛荘町,2020,20893,1.0
25441,滋賀県,豊郷町,2020,7132,1.0
25442,滋賀県,甲良町,2020,6362,1.0
25443,滋賀県,多賀町,2020,7274,1.0
26101,京都府,京都市北区,2020,117165,1.0
26102,京都府,京都市上京区,2020,83832,1.0
26103,京都府,京都市左京区,2020,166039,1.0
26104,京都府,京都市中京区,2020,110488,1.0
26105,京都府,京都市東山区,2020,36602,1.0
26106,京都府,京都市下京区,2020,82784,1.0
26107,京都府,京都市南区,2020,101970,1.0
26108,京都府,京都市右京区,2020,202047,1.0
26109,京都府,京都市伏見区,2020,277858,1.0
26110,京都府,京都市山科区,2020,135101,1.0
26111,京都府,京都市西京区,2020,149837,1.0
26201,京都府,福知山市,2020,77306,1.0
26202,京都府,舞鶴市,2020,80336,1.0
26203,京都府,綾部市,2020,31846,1.0
26204,京都府,宇治市,2020,179630,1.0
26205,京都府,宮津市,2020,16758,1.0
26206,京都府,亀岡市,2020,86174,1.0
26207,京都府,城陽市,2020,74607,1.0
26208,京都府,向日市,2020,56859,1.0
26209,京都府,長岡京市,2020,80608,1.0
26210,京都府,八幡市,2020,70433,1.0
26211,京都府,京田辺市,2020,73753,1.0
26212,京都府,京丹後市,2020,50860,1.0
26213,京都府,南丹市,2020,31629,1.0
26214,京都府,木津川市,2020,77907,1.0
26303,京都府,大山崎町,2020,15953,1.0
26322,京都府,久御山町,2020,15250,1.0
26343,京都府,井手町,2020,7406,1.0
26344,京都府,宇治田原町,2020,8911,1.0
26364,京都府,笠置町,2020,1144,1.0
26365,京都府,和束町,2020,3478,1.0
26366,京都府,精華町,2020,36198,1.0
26367,京都府,南山城村,2020,2391,1.0
26407,京都府,京丹波町,2020,12907,1.0
26463,京都府,伊根町,2020,1928,1.0
26465,京都府,与謝野町,2020,20092,1.0
25201,滋賀県,大津市,2025,346490,1.004115107079723
25202,滋賀県,彦根市,2025,110479,0.9721242091740213
25203,滋賀県,長浜市,2025,108940,0.9586750677602168
25204,滋賀県,近江八幡市,2025,79767,0.983296762900323
25206,滋賀県,草津市,2025,148095,1.029059223280732
25207,滋賀県,守山市,2025,85306,1.0248690470469508
25208,滋賀県,栗東市,2025,69843,1.0148648648648648
25209,滋賀県,甲賀市,2025,85284,0.9652097150229747
25210,滋賀県,野洲市,2025,50079,0.991408152356819
25211,滋賀県,湖南市,2025,53460,0.9816378993756886
25212,滋賀県,高島市,2025,43409,0.9360027599887876
25213,滋賀県,東近江市,2025,110027,0.9752523954298478
25214,滋賀県,米原市,2025,35628,0.9570987239758227
25383,滋賀県,日野町,2025,20200,0.9635565731730585
25384,滋賀県,竜王町,2025,11323,0.9604716260921198
25425,滋賀県,愛荘町,2025,20891,0.9999042741588092
25441,滋賀県,豊郷町,2025,6958,0.9756029164329781
25442,滋賀県,甲良町,2025,5796,0.9110342659541025
25443,滋賀県,多賀町,2025,7005,0.963018971679956
26101,京都府,京都市北区,2025,114533,0.9775359535697521
26102,京都府,京都市上京区,2025,83454,0.9954909819639278
26103,京都府,京都市左京区,2025,164174,0.9887676991550178
26104,京都府,京都市中京区,2025,111506,1.009213670262834
26105,京都府,京都市東山区,2025,35261,0.9633626577782635
26106,京都府,京都市下京区,2025,83686,1.0108958252802474
26107,京都府,京都市南区,2025,101899,0.999303716779445
26108,京都府,京都市右京区,2025,199622,0.9879978420862473
26109,京都府,京都市伏見区,2025,271668,0.9777224337611298
26110,京都府,京都市山科区,2025,132385,0.9798965218614222
26111,京都府,京都市西京区,2025,143826,0.9598830729392607
26201,京都府,福知山市,2025,74977,0.9698729723436732
26202,京都府,舞鶴市,2025,75871,0.944420932085242
26203,京都府,綾部市,2025,29790,0.9354393016391384
26204,京都府,宇治市,2025,173161,0.9639870845627122
26205,京都府,宮津市,2025,15124,0.9024943310657596
26206,京都府,亀岡市,2025,82670,0.9593380834126303
26207,京都府,城陽市,2025,71469,0.9579396035224577
26208,京都府,向日市,2025,55615,0.9781213176454036
26209,京都府,長岡京市,2025,79488,0.9861055974593093
26210,京都府,八幡市,2025,67642,0.9603736884698933
26211,京都府,京田辺市,2025,75025,1.01724675606416
26212,京都府,京丹後市,2025,46813,0.9204286276051907
26213,京都府,南丹市,2025,30088,0.9512788896266084
26214,京都府,木津川市,2025,80459,1.0327570051471626
26303,京都府,大山崎町,2025,16183,1.01441735096847
