level,model,max|dev|,max/min,PP,splits,severed,objective
A,M1 base,0.1608508862270858,1.3138311735419057,0.033244477057695,0.0,243932.5,1793321.0
A,M2 ON,0.1608508862270858,1.3138311735419057,0.033244477057695,0.0,243932.5,1793321.0
A,M3 OFF,0.1574485738772256,1.3215579758623457,0.0320632788388002,0.0,249689.5,1870325.0
A,M4 ON,0.1608508862270858,1.3138311735419057,0.033244477057695,0.0,243932.5,2168621.0
A,M4 OFF,0.0940857985964365,1.19098120450228,0.0336414314742986,0.0,258311.5,2248844.0
B,M1 base,0.18116104503924013,1.4055206358997756,0.0310174167009667,6.0,241040.93874587637,2.215394648817747
B,M2 ON,0.1624584731756944,1.3163529563784768,0.0325184634140988,1.0,243922.56924311048,0.6245294675099053
B,M3 OFF,0.1624584731756944,1.3163529563784768,0.0325184634140988,1.0,243922.56924311048,0.6245294675099053
B,M4 ON,0.18116104503924013,1.4055206358997756,0.0310174167009667,6.0,241040.93874587637,2.215394648817747
B,M4 OFF,0.1624584731756944,1.3163529563784768,0.0325184634140988,1.0,243922.56924311048,0.6245294675099053
