file,n_units,assign_hash
A_M1_on_tau0.2_s11_assign.csv,55,4475f60fb9e59b93
A_M1_on_tau0.2_s41_assign.csv,55,d1552e56295227af
A_M2_on_tau0.15_s11_assign.csv,55,f3962c78fde5035b
A_M2_on_tau0.2_s11_assign.csv,55,41c47331f79b93bb
A_M2_on_tau0.2_s23_assign.csv,55,0e8de1ee20079762
A_M2_on_tau0.2_s41_assign.csv,55,60b4d4dcc229518e
A_M2_on_tau0.3_s11_assign.csv,55,9f6eedae13e21e23
A_M3_off_tau0.2_s11_assign.csv,55,d051095b1a51112c
A_M3_off_tau0.3_s11_assign.csv,55,43234eda2ea4fbc5
A_M4_off_tau0.2_s37_assign.csv,55,d677b224627530b5
A_M4_on_tau0.2_s11_assign.csv,55,efcda307eb464603
A_M4_on_tau0.2_s41_assign.csv,55,60b4d4dcc229518e
A_M5_on_tau0.2_s11_assign.csv,55,c3cee0a3cdcfe675
B_M1_on_tau0.2_s11_assign.csv,11978,7d3fd90adef391a7
B_M1_on_tau0.2_s23_assign.csv,11978,1ae439f86cae1def
B_M1_on_tau0.2_s37_assign.csv,11978,1ae439f86cae1def
B_M1_on_tau0.2_s41_assign.csv,11978,c0293aabce903289
B_M2_on_tau0.15_s11_assign.csv,11978,a412bd165c0bd96a
B_M2_on_tau0.1_s11_assign.csv,11978,248b68965442e556
B_M2_on_tau0.2_s11_assign.csv,11978,50effaaafa436684
B_M2_on_tau0.2_s23_assign.csv,11978,ab0fa6722a98ca21
B_M2_on_tau0.2_s37_assign.csv,11978,1ae439f86cae1def
B_M2_on_tau0.2_s41_assign.csv,11978,50885bd596b03323
B_M2_on_tau0.3_s11_assign.csv,11978,382b397799a8f12d
B_M3_off_tau0.15_s11_assign.csv,11978,7eae0bf712c573d7
B_M3_off_tau0.1_s11_assign.csv,11978,54e9f7c2fd382910
B_M3_off_tau0.2_s11_assign.csv,11978,519684499470dc60
B_M3_off_tau0.2_s23_assign.csv,11978,34267971d6d6a00e
B_M3_off_tau0.2_s37_assign.csv,11978,34267971d6d6a00e
B_M3_off_tau0.2_s41_assign.csv,11978,c0293aabce903289
B_M3_off_tau0.3_s11_assign.csv,11978,33105b0348b9f1df
B_M4_off_tau0.2_s11_assign.csv,11978,7d3fd90adef391a7
B_M4_off_tau0.2_s23_assign.csv,11978,34267971d6d6a00e
B_M4_off_tau0.2_s37_assign.csv,11978,d6cb3b85b48503a6
B_M4_off_tau0.2_s41_assign.csv,11978,c0293aabce903289
B_M4_on_tau0.2_s11_assign.csv,11978,124cda96d9c2c85d
B_M4_on_tau0.2_s23_assign.csv,11978,1ae439f86cae1def
B_M4_on_tau0.2_s37_assign.csv,11978,1ae439f86cae1def
B_M4_on_tau0.2_s41_assign.csv,11978,50885bd596b03323
B_M5_on_tau0.2_s11_assign.csv,11978,1ae439f86cae1def
