placebo_id,cross_od
0,101233.5
1,45379.0
2,113972.5
3,71218.5
4,112793.5
5,103211.0
6,98959.0
7,58219.0
8,98959.0
9,98290.0
10,103211.0
11,103038.0
12,61099.0
13,102334.0
14,87546.5
15,98959.0
16,103038.0
17,90847.0
18,90865.0
19,102597.5
20,99419.5
21,105493.5
22,64301.5
23,106323.5
24,94707.0
25,45554.0
26,99419.5
27,105305.0
28,110057.0
29,64050.5
30,91052.0
31,101459.5
32,99546.5
33,97236.5
34,45554.0
35,107359.5
36,64301.5
37,90321.5
38,45379.0
39,91201.0
40,102642.0
41,112793.5
42,46997.5
43,102876.5
44,100981.5
45,45379.0
46,99419.5
47,71218.5
48,106955.0
49,71218.5
50,112793.5
51,94707.0
52,95576.5
53,99419.5
54,101969.0
55,103038.0
56,108108.5
57,102334.0
58,100981.5
59,112793.5
60,87546.5
61,100981.5
62,106955.0
63,103038.0
64,102345.5
65,114629.0
66,91201.0
67,71218.5
68,94707.0
69,87573.0
70,90865.0
71,45379.0
72,88630.5
73,99419.5
74,91201.0
75,99223.0
76,106955.0
77,89318.5
78,99063.5
79,45379.0
80,45379.0
81,98959.0
82,64050.5
83,112793.5
84,100473.0
85,99419.5
86,103038.0
87,71218.5
88,103038.0
89,100981.5
90,105493.5
91,95659.0
92,56495.0
93,90922.0
94,74838.0
95,100981.5
96,45379.0
97,110057.0
98,89318.5
99,87546.5
100,46822.5
101,100981.5
102,103038.0
103,87546.5
104,101969.0
105,99572.0
106,99419.5
107,103038.0
108,100981.5
109,70940.5
110,113972.5
111,94024.0
112,106955.0
113,114629.0
114,112793.5
115,96022.0
116,99419.5
117,102876.5
118,98959.0
119,100544.0
120,64050.5
121,106323.5
122,99695.0
123,105056.0
124,96635.5
125,71218.5
126,110043.5
127,103608.0
128,100981.5
129,106477.5
130,99419.5
131,112793.5
132,104641.5
133,90321.5
134,95678.0
135,100981.5
136,103038.0
137,100981.5
138,99419.5
139,97261.5
140,87546.5
141,113972.5
142,99419.5
143,98959.0
144,103038.0
145,102345.5
146,100981.5
147,103038.0
148,99419.5
149,99419.5
150,99419.5
151,100981.5
152,100981.5
153,106731.0
154,106731.0
155,89929.5
156,45379.0
157,87546.5
158,94952.0
159,103882.0
160,103038.0
161,94952.0
162,76932.5
163,73038.5
164,71218.5
165,87546.5
166,103038.0
167,99419.5
168,95659.0
169,107359.5
170,106955.0
171,96493.5
172,99572.0
173,98959.0
174,112793.5
175,105412.5
176,100941.0
177,95659.0
178,113972.5
179,100941.0
180,87546.5
181,112793.5
182,111614.5
183,99419.5
184,98959.0
185,106731.0
186,87546.5
187,94707.0
188,110057.0
189,113972.5
190,45379.0
191,106955.0
192,106955.0
193,114629.0
194,45379.0
195,94952.0
196,97236.5
197,102876.5
198,45379.0
199,45379.0
